finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-26T20:38:07Z,2020-04-26T20:49:40Z,2020-04-26T20:49:41Z,female,17,5,1,Australia,Australian,1,4,2,2,2,2,3,4,3,3,2,4,2,4,2,5,4,4,4,3,4,4,5,5,2,5,1,5,1,4,2,5,4,5,2,2,,,0
TRUE,2020-04-26T20:43:21Z,2020-04-26T20:50:11Z,2020-04-26T20:50:12Z,female,17,5,1,Australian,white,1,4,5,4,3,3,4,4,4,2,4,5,4,4,4,5,6,4,6,2,2,2,4,6,3,1,1,5,4,5,1,3,1,5,1,1,Novo Amor,anchor,0
TRUE,2020-04-26T20:37:07Z,2020-04-26T20:51:24Z,2020-04-26T20:51:25Z,male,19,5,1,Australia,Caucasian,1,4,3,4,3,3,1,5,5,5,3,4,4,2,4,6,4,2,2,2,4,4,2,4,2,2,1,1,4,2,2,5,3,5,1,4,,,0
TRUE,2020-04-26T21:14:52Z,2020-04-26T21:23:14Z,2020-04-26T21:23:14Z,prefer not to say,18,5,1,"Thailand, Australia","Australian, Thai",1,4,3,2,4,4,1,4,4,2,3,5,5,5,2,1,4,1,2,2,3,2,1,4,5,5,1,1,1,4,5,1,3,1,4,4,NCT Dream,Fireflies,0
TRUE,2020-04-26T20:07:57Z,2020-04-26T21:57:32Z,2020-04-26T21:57:32Z,female,17,5,1,Australia,Australian,1,6,5,2,4,5,2,5,1,2,4,5,5,4,4,1,5,3,5,2,2,2,4,5,2,4,1,4,3,5,1,2,3,5,1,1,Dodie,Burned Out,0
TRUE,2020-04-26T21:46:46Z,2020-04-26T22:00:08Z,2020-04-26T22:00:08Z,female,17,3,1,Australia,Sri Lankan,1,4,2,2,4,2,4,2,3,2,2,2,2,2,2,5,5,4,4,5,5,4,4,4,5,5,4,5,4,4,2,5,3,4,4,3,My heart will go on,Céline Dion,0
TRUE,2020-04-26T21:50:55Z,2020-04-26T22:06:44Z,2020-04-26T22:06:45Z,female,17,5,1,Australia,Albannaich,1,6,5,3,3,5,5,5,5,5,5,5,3,3,5,2,4,5,5,5,6,4,5,6,3,5,1,4,1,3,4,2,2,4,4,2,Marconi union,Weightless,0
TRUE,2020-04-26T22:43:32Z,2020-04-26T22:51:48Z,2020-04-26T22:51:48Z,female,17,5,1,Australia and Romania,Romanian,1,4,2,2,2,4,5,4,5,2,2,5,4,2,2,4,6,5,4,2,5,1,6,4,4,4,1,6,3,2,2,4,3,4,4,3,Blood orange,Champagne coast,0
TRUE,2020-04-26T22:48:25Z,2020-04-26T23:01:19Z,2020-04-26T23:01:19Z,female,17,5,1,Australia and uk,Caucasian,1,4,2,1,4,2,2,5,5,4,1,4,3,2,2,2,5,4,5,4,4,3,5,5,1,6,1,4,4,5,3,2,3,5,1,3,Nicholas Britell,A rose in Spanish Harlem,0
TRUE,2020-04-26T23:03:04Z,2020-04-26T23:14:32Z,2020-04-26T23:14:33Z,female,18,5,1,New Zealand,Caucasian,1,6,5,3,4,5,2,4,3,2,4,5,5,5,5,3,5,3,4,5,3,3,5,5,4,4,1,5,2,3,3,4,4,4,3,3,Cosmo Sheldrake,Green Grass,0
TRUE,2020-04-26T23:09:47Z,2020-04-26T23:20:43Z,2020-04-26T23:20:43Z,male,17,5,1,Australia,Chinese,1,4,4,4,5,5,4,5,4,2,2,5,4,2,2,5,4,1,2,5,5,5,4,4,1,1,1,1,1,1,2,4,3,4,2,4,Sci-Inspi,Expired Milk,0
